Date,Player,Runs,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings,Participation,Opposition,Ground
13-11-2014,RG Sharma,264,FALSE,225,173,33,9,152.6011561,1,B,Sri Lanka,Kolkata
08-12-2011,V Sehwag,219,FALSE,208,149,25,7,146.9798658,1,B,West Indies,Indore
02-11-2013,RG Sharma,209,FALSE,222,158,12,16,132.278481,1,B,Australia,Bengaluru
13-12-2017,RG Sharma,208,TRUE,212,153,13,12,135.9477124,1,B,Sri Lanka,Mohali
24-02-2010,SR Tendulkar,200,TRUE,226,147,25,3,136.0544218,1,B,South Africa,Gwalior
08-11-1999,SR Tendulkar,186,TRUE,221,150,20,3,124,1,B,New Zealand,Hyderabad (Deccan)
31-10-2005,MS Dhoni,183,TRUE,210,145,15,10,126.2068966,2,B,Sri Lanka,Jaipur
26-05-1999,SC Ganguly,183,FALSE,210,158,17,7,115.8227848,1,B,Sri Lanka,Taunton
18-03-2012,V Kohli,183,FALSE,211,148,22,1,123.6486486,2,B,Pakistan,Dhaka
18-06-1983,N Kapil Dev,175,TRUE,NA,138,16,6,126.8115942,1,B,Zimbabwe,Tunbridge Wells
05-11-2009,SR Tendulkar,175,FALSE,210,141,19,4,124.1134752,2,B,Australia,Hyderabad (Deccan)
19-02-2011,V Sehwag,175,FALSE,198,140,14,5,125,1,B,Bangladesh,Dhaka
12-01-2016,RG Sharma,171,TRUE,205,163,13,7,104.9079755,1,B,Australia,Perth
08-03-2009,SR Tendulkar,163,TRUE,206,133,16,5,122.556391,1,B,New Zealand,Christchurch
29-10-2018,RG Sharma,162,FALSE,NA,137,20,4,118.2481752,1,B,West Indies,Mumbai (BS)
07-02-2018,V Kohli,160,TRUE,220,159,12,2,100.6289308,1,B,South Africa,Cape Town
19-03-2002,D Mongia,159,TRUE,233,147,17,1,108.1632653,1,B,Zimbabwe,Guwahati
24-10-2018,V Kohli,157,TRUE,217,129,13,4,121.7054264,1,B,West Indies,Visakhapatnam
23-10-2016,V Kohli,154,TRUE,202,134,16,1,114.9253731,2,B,New Zealand,Mohali
09-04-1998,M Azharuddin,153,TRUE,202,150,17,1,102,1,B,Zimbabwe,Cuttack
11-11-1999,SC Ganguly,153,TRUE,225,150,18,3,102,1,B,New Zealand,Gwalior
08-11-1999,R Dravid,153,FALSE,196,153,15,2,100,1,B,New Zealand,Hyderabad (Deccan)
21-10-2018,RG Sharma,152,TRUE,NA,117,15,8,129.9145299,2,B,West Indies,Guwahati
23-02-2003,SR Tendulkar,152,FALSE,193,151,18,0,100.6622517,1,B,Namibia,Pietermaritzburg
24-12-2009,G Gambhir,150,TRUE,NA,137,14,0,109.4890511,2,B,Sri Lanka,Kolkata
05-02-2009,G Gambhir,150,FALSE,214,147,14,1,102.0408163,1,B,Sri Lanka,Colombo (RPS)
11-10-2015,RG Sharma,150,FALSE,215,133,13,6,112.7819549,2,B,South Africa,Kanpur
